occ_code,occ_title,group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
49-9093,"Fabric menders, except garment",,          2140,       6.0,         16.37,         34040,           1.9,          8.91,         11.22,         16.77,         20.94,         24.76,         18530,         23330,         34880,         43560,         51500,,
49-9094,Locksmiths and safe repairers,,         16080,       2.7,         15.67,         32600,           0.8,          8.81,         11.28,         14.85,         19.63,         24.23,         18320,         23450,         30880,         40820,         50390,,
49-9095,Manufactured building and mobile home installers,,         10120,       9.2,         12.05,         25070,           2.0,          8.04,          9.30,         11.09,         13.66,         16.98,         16720,         19350,         23070,         28400,         35310,,
49-9096,Riggers,,         11840,       5.9,         18.17,         37790,           1.8,          9.94,         13.68,         17.79,         22.22,         26.63,         20690,         28460,         37010,         46220,         55380,,
49-9097,Signal and track switch repairers,,          6100,       5.7,         23.25,         48370,           1.4,         17.58,         20.55,         23.65,         26.27,         28.55,         36570,         42740,         49200,         54640,         59370,,
49-9098,"Helpers--installation, maintenance, and repair workers",,        158520,       1.5,         11.17,         23230,           0.8,          6.85,          8.17,         10.21,         13.22,         17.03,         14250,         16990,         21230,         27510,         35420,,
49-9099,"Installation, maintenance, and repair workers, all other",,        135560,       2.1,         17.43,         36260,           0.6,          9.13,         11.74,         16.39,         22.26,         27.32,         18990,         24430,         34090,         46310,         56830,,
51-0000,Production occupations,major,      10249220,       0.3,         14.37,         29890,           0.2,          7.81,          9.70,         12.91,         17.43,         23.51,         16240,         20170,         26850,         36250,         48910,,
51-1011,First-line supervisors/managers of production and operating workers,,        679930,       0.4,         23.66,         49210,           0.2,         13.77,         17.27,         22.18,         28.31,         35.68,         28650,         35930,         46140,         58890,         74220,,
51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers",,         22820,       4.8,         20.45,         42530,           2.8,         11.61,         15.84,         21.15,         25.30,         27.72,         24140,         32950,         43990,         52610,         57650,,
51-2021,"Coil winders, tapers, and finishers",,         23190,       5.2,         12.65,         26320,           1.1,          8.07,          9.79,         12.32,         15.22,         17.53,         16790,         20370,         25630,         31660,         36450,,
51-2022,Electrical and electronic equipment assemblers,,        207270,       2.1,         13.05,         27150,           0.6,          8.19,          9.74,         12.08,         15.48,         19.68,         17040,         20250,         25130,         32200,         40940,,
51-2023,Electromechanical equipment assemblers,,         57200,       2.8,         13.71,         28520,           1.2,          8.56,         10.19,         12.97,         16.72,         20.44,         17810,         21190,         26980,         34790,         42520,,
51-2031,Engine and other machine assemblers,,         49430,       5.1,         17.38,         36150,           2.5,          9.70,         12.16,         16.72,         23.11,         26.33,         20170,         25290,         34770,         48070,         54770,,
51-2041,Structural metal fabricators and fitters,,         93490,       2.0,         15.09,         31390,           0.6,          9.50,         11.66,         14.56,         17.63,         21.54,         19750,         24240,         30290,         36670,         44810,,
51-2091,Fiberglass laminators and fabricators,,         30560,       3.3,         12.64,         26300,           0.9,          8.29,          9.85,         12.13,         14.88,         17.64,         17240,         20490,         25230,         30950,         36700,,
51-2092,Team assemblers,,       1242370,       0.9,         12.50,         26000,           0.6,          7.64,          9.20,         11.60,         14.85,         19.04,         15880,         19140,         24120,         30890,         39600,,
51-2093,"Timing device assemblers, adjusters, and calibrators",,          2460,      14.1,         14.23,         29600,           2.3,          8.58,         11.08,         13.54,         16.51,         21.20,         17850,         23050,         28160,         34340,         44090,,
51-2099,"Assemblers and fabricators, all other",,        258240,       2.4,         14.49,         30140,           1.7,          7.62,          9.34,         12.62,         19.04,         25.29,         15850,         19430,         26250,         39610,         52600,,
51-3011,Bakers,,        144110,       1.7,         11.13,         23150,           0.5,          7.13,          8.30,         10.35,         13.27,         16.72,         14830,         17260,         21520,         27590,         34780,,
51-3021,Butchers and meat cutters,,        128660,       1.4,         13.37,         27810,           0.4,          7.74,          9.76,         12.78,         16.64,         20.37,         16090,         20290,         26590,         34610,         42370,,
51-3022,"Meat, poultry, and fish cutters and trimmers",,        136690,       2.3,          9.99,         20780,           0.9,          6.96,          7.95,          9.53,         11.25,         13.73,         14470,         16540,         19830,         23390,         28550,,
51-3023,Slaughterers and meat packers,,        132000,       4.2,         10.33,         21490,           1.0,          7.47,          8.68,         10.20,         11.94,         13.44,         15530,         18050,         21220,         24840,         27970,,
51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders",,         18160,       4.6,         12.15,         25280,           1.6,          7.17,          8.73,         11.17,         15.07,         18.70,         14920,         18160,         23230,         31350,         38890,,
51-3092,Food batchmakers,,         89400,       2.2,         11.61,         24140,           0.7,          7.11,          8.39,         10.82,         13.96,         17.49,         14780,         17460,         22510,         29030,         36390,,
51-3093,Food cooking machine operators and tenders,,         43100,       2.7,         11.03,         22950,           1.0,          7.05,          8.27,         10.29,         13.16,         16.73,         14670,         17190,         21390,         27360,         34800,,
51-4011,"Computer-controlled machine tool operators, metal and plastic",,        136490,       1.6,         15.41,         32060,           0.5,          9.62,         11.77,         14.91,         18.53,         21.87,         20010,         24470,         31010,         38540,         45490,,
51-4012,Numerical tool and process control programmers,,         17860,       3.2,         21.15,         43990,           1.1,         12.82,         15.96,         20.11,         25.23,         31.34,         26670,         33200,         41830,         52480,         65190,,
51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",,         87290,       2.1,         13.84,         28790,           0.6,          9.03,         10.87,         13.46,         16.38,         19.56,         18780,         22620,         28000,         34070,         40680,,
51-4022,"Forging machine setters, operators, and tenders, metal and plastic",,         33850,       3.6,         14.53,         30220,           1.3,          8.66,         11.17,         13.93,         17.12,         21.58,         18020,         23230,         28970,         35610,         44890,,
