CIP_Code,CIP_Desc,credential_level_tags,year,avg_debt_debt_all_stgp_any_mean,avg_postgrad_earnings,avg_income_a_mean_broad_detailed,weighted_income_a_mean_by_tot_emp,avg_income_a_pct10_broad_detailed,avg_income_a_pct90_broad_detailed,sum_employment_tot_emp
0406,Landscape Architecture.,Bachelor's Degree,2016,23598,,101860,134935,55690,158130,205180
0406,Landscape Architecture.,Bachelor's Degree,2017,23986,46175,102723,137380,56997,130505,206310
0406,Landscape Architecture.,Bachelor's Degree,2018,24459,46885,107150,140757,57623,143820,213830
0406,Landscape Architecture.,Bachelor's Degree,2019,23636,45771,108627,144042,59277,143840,221310
0406,Landscape Architecture.,Bachelor's Degree,2020,23902,,111453,148664,61257,146985,223540
0408,Architectural Conservation.,Bachelor's Degree,2017,26172,,80907,87097,39493,131493,113450
0408,Architectural Conservation.,Bachelor's Degree,2018,21646,,84853,88892,39943,141030,114280
0409,"Architectural Sciences and Technology, Other.",Bachelor's Degree,2016,21117,,97017,111850,53897,148797,282570
0409,"Architectural Sciences and Technology, Other.",Associate's Degree|Bachelor's Degree,2017,17090,47700,97467,113977,54860,116165,283230
0409,"Architectural Sciences and Technology, Other.",Associate's Degree|Bachelor's Degree,2018,19205,45691,101663,117041,55727,127590,292780
0409,"Architectural Sciences and Technology, Other.",Associate's Degree|Bachelor's Degree,2019,21037,48168,103330,120455,57133,128810,299830
0409,"Architectural Sciences and Technology, Other.",Associate's Degree|Bachelor's Degree,2020,22560,,106013,124282,59287,131025,301990
0410,Real Estate Development.,Bachelor's Degree,2020,18833,,76582,71385,32324,141034,488960
0499,"Architecture and Related Services, Other.",Bachelor's Degree,2016,20758,,,,,,
0499,"Architecture and Related Services, Other.",Bachelor's Degree,2017,20707,,,,,,
0499,"Architecture and Related Services, Other.",Associate's Degree|Bachelor's Degree,2018,18326,,,,,,
0499,"Architecture and Related Services, Other.",Associate's Degree|Bachelor's Degree,2019,19406,45184,,,,,
0499,"Architecture and Related Services, Other.",Bachelor's Degree,2020,19308,,,,,,
0501,African Studies.,Bachelor's Degree|Undergraduate Certificate or Diploma,2016,21071,,84590,84590,38950,148640,9060
0501,African Studies.,Bachelor's Degree|Undergraduate Certificate or Diploma,2017,20798,33844,83330,83330,35640,150830,9850
